# format: as|source|type
# date: 20200101
# name: as2type
# exe: type-convert-amogh.pl
# files: 20200101.merged.class.txt
# types: Content|Enterprise|Transit/Access
381|CAIDA_class|Transit/Access
383|CAIDA_class|Transit/Access
385|CAIDA_class|Transit/Access
386|CAIDA_class|Transit/Access
391|CAIDA_class|Transit/Access
395|CAIDA_class|Transit/Access
399|CAIDA_class|Transit/Access
400|CAIDA_class|Enterprise
409|CAIDA_class|Transit/Access
427|CAIDA_class|Transit/Access
440|CAIDA_class|Transit/Access
444|CAIDA_class|Transit/Access
450|CAIDA_class|Transit/Access
452|CAIDA_class|Transit/Access
466|CAIDA_class|Transit/Access
491|CAIDA_class|Transit/Access
492|CAIDA_class|Transit/Access
493|CAIDA_class|Transit/Access
494|CAIDA_class|Transit/Access
495|CAIDA_class|Transit/Access
497|CAIDA_class|Transit/Access
510|CAIDA_class|Transit/Access
511|CAIDA_class|Enterprise
513|CAIDA_class|Transit/Access
517|CAIDA_class|Transit/Access
518|CAIDA_class|Transit/Access
523|CAIDA_class|Transit/Access
531|CAIDA_class|Transit/Access
542|CAIDA_class|Transit/Access
543|CAIDA_class|Transit/Access
545|CAIDA_class|Enterprise
546|CAIDA_class|Transit/Access
547|CAIDA_class|Transit/Access
549|CAIDA_class|Transit/Access
553|CAIDA_class|Transit/Access
555|CAIDA_class|Transit/Access
557|CAIDA_class|Transit/Access
558|peerDB_class|Transit/Access
559|CAIDA_class|Transit/Access
564|CAIDA_class|Transit/Access
565|CAIDA_class|Transit/Access
566|CAIDA_class|Transit/Access
567|CAIDA_class|Transit/Access
571|CAIDA_class|Transit/Access
572|CAIDA_class|Transit/Access
575|CAIDA_class|Transit/Access
577|peerDB_class|Transit/Access
589|CAIDA_class|Transit/Access
600|CAIDA_class|Transit/Access
603|CAIDA_class|Transit/Access
605|CAIDA_class|Enterprise
606|CAIDA_class|Transit/Access
607|CAIDA_class|Enterprise
611|CAIDA_class|Transit/Access
613|CAIDA_class|Transit/Access
615|CAIDA_class|Enterprise
616|CAIDA_class|Transit/Access
619|CAIDA_class|Transit/Access
627|CAIDA_class|Transit/Access
637|CAIDA_class|Transit/Access
647|CAIDA_class|Transit/Access
664|CAIDA_class|Transit/Access
665|CAIDA_class|Transit/Access
668|CAIDA_class|Transit/Access
670|CAIDA_class|Enterprise
671|CAIDA_class|Enterprise
672|CAIDA_class|Enterprise
673|CAIDA_class|Transit/Access
675|CAIDA_class|Transit/Access
676|CAIDA_class|Transit/Access
679|CAIDA_class|Transit/Access
680|CAIDA_class|Content
681|CAIDA_class|Transit/Access
683|CAIDA_class|Transit/Access
684|CAIDA_class|Transit/Access
687|CAIDA_class|Transit/Access
688|CAIDA_class|Enterprise
693|CAIDA_class|Transit/Access
698|CAIDA_class|Enterprise
701|peerDB_class|Transit/Access
702|peerDB_class|Transit/Access
703|peerDB_class|Transit/Access
705|CAIDA_class|Transit/Access
706|CAIDA_class|Transit/Access
714|peerDB_class|Content
715|CAIDA_class|Transit/Access
719|peerDB_class|Transit/Access
721|CAIDA_class|Enterprise
722|CAIDA_class|Transit/Access
724|CAIDA_class|Transit/Access
745|CAIDA_class|Content
747|CAIDA_class|Transit/Access
760|CAIDA_class|Transit/Access
763|CAIDA_class|Enterprise
764|CAIDA_class|Transit/Access
766|CAIDA_class|Transit/Access
773|CAIDA_class|Transit/Access
775|CAIDA_class|Transit/Access
776|CAIDA_class|Transit/Access
777|CAIDA_class|Transit/Access
781|CAIDA_class|Transit/Access
784|CAIDA_class|Enterprise
786|CAIDA_class|Content
789|CAIDA_class|Transit/Access
790|CAIDA_class|Transit/Access
792|CAIDA_class|Content
793|CAIDA_class|Enterprise
797|CAIDA_class|Transit/Access
800|peerDB_class|Transit/Access
801|CAIDA_class|Enterprise
802|CAIDA_class|Transit/Access
803|peerDB_class|Transit/Access
806|CAIDA_class|Transit/Access
808|CAIDA_class|Transit/Access
812|peerDB_class|Transit/Access
813|CAIDA_class|Transit/Access
818|CAIDA_class|Transit/Access
819|CAIDA_class|Transit/Access
820|CAIDA_class|Enterprise
822|CAIDA_class|Transit/Access
823|CAIDA_class|Transit/Access
837|CAIDA_class|Enterprise
841|CAIDA_class|Transit/Access
852|peerDB_class|Transit/Access
855|peerDB_class|Transit/Access
940|CAIDA_class|Enterprise
1000|CAIDA_class|Enterprise
1007|CAIDA_class|Transit/Access
1013|CAIDA_class|Enterprise
1030|CAIDA_class|Transit/Access
1032|CAIDA_class|Transit/Access
1075|CAIDA_class|Enterprise
1100|CAIDA_class|Transit/Access
1101|CAIDA_class|Transit/Access
1102|CAIDA_class|Transit/Access
1103|CAIDA_class|Transit/Access
1104|CAIDA_class|Transit/Access
1109|CAIDA_class|Enterprise
1110|CAIDA_class|Transit/Access
1111|CAIDA_class|Enterprise
1112|CAIDA_class|Enterprise
1113|CAIDA_class|Transit/Access
1114|CAIDA_class|Transit/Access
1115|CAIDA_class|Enterprise
1117|CAIDA_class|Transit/Access
1120|CAIDA_class|Transit/Access
1124|manual_class|Enterprise
1125|CAIDA_class|Transit/Access
1126|peerDB_class|Transit/Access
1128|CAIDA_class|Transit/Access
1132|CAIDA_class|Transit/Access
1133|CAIDA_class|Transit/Access
1136|peerDB_class|Transit/Access
1140|CAIDA_class|Enterprise
1142|CAIDA_class|Transit/Access
1145|CAIDA_class|Enterprise
1146|CAIDA_class|Enterprise
1147|CAIDA_class|Enterprise
1149|CAIDA_class|Transit/Access
1161|CAIDA_class|Transit/Access
1197|CAIDA_class|Transit/Access
1199|CAIDA_class|Transit/Access
1201|CAIDA_class|Transit/Access
1204|CAIDA_class|Transit/Access
1205|CAIDA_class|Transit/Access
1206|CAIDA_class|Transit/Access
1207|CAIDA_class|Transit/Access
1208|CAIDA_class|Transit/Access
1213|CAIDA_class|Transit/Access
1215|CAIDA_class|Transit/Access
1216|CAIDA_class|Enterprise
1217|CAIDA_class|Transit/Access
1218|CAIDA_class|Transit/Access
1219|CAIDA_class|Enterprise
1221|CAIDA_class|Transit/Access
1222|CAIDA_class|Enterprise
1224|CAIDA_class|Transit/Access
1226|CAIDA_class|Transit/Access
1234|peerDB_class|Content
1236|manual_class|Enterprise
1237|CAIDA_class|Transit/Access
1239|peerDB_class|Transit/Access
1241|peerDB_class|Transit/Access
1246|CAIDA_class|Transit/Access
1248|peerDB_class|Enterprise
1249|CAIDA_class|Transit/Access
1251|CAIDA_class|Transit/Access
1252|CAIDA_class|Transit/Access
1254|CAIDA_class|Transit/Access
1256|CAIDA_class|Transit/Access
1257|peerDB_class|Transit/Access
1258|CAIDA_class|Enterprise
1261|CAIDA_class|Transit/Access
1265|CAIDA_class|Transit/Access
1267|peerDB_class|Transit/Access
1273|peerDB_class|Transit/Access
1277|CAIDA_class|Transit/Access
1280|CAIDA_class|Transit/Access
1286|CAIDA_class|Transit/Access
1287|CAIDA_class|Enterprise
1289|CAIDA_class|Transit/Access
1290|peerDB_class|Transit/Access
1293|CAIDA_class|Transit/Access
1294|CAIDA_class|Content
1299|peerDB_class|Transit/Access
1301|CAIDA_class|Transit/Access
1303|CAIDA_class|Transit/Access
1307|CAIDA_class|Transit/Access
1311|CAIDA_class|Transit/Access
1312|CAIDA_class|Transit/Access
1313|CAIDA_class|Transit/Access
1315|CAIDA_class|Enterprise
1321|CAIDA_class|Transit/Access
1323|CAIDA_class|Enterprise
1325|CAIDA_class|Transit/Access
1326|CAIDA_class|Transit/Access
1331|CAIDA_class|Transit/Access
1339|CAIDA_class|Transit/Access
1341|CAIDA_class|Enterprise
1342|peerDB_class|Content
1343|CAIDA_class|Transit/Access
1347|CAIDA_class|Transit/Access
1348|CAIDA_class|Transit/Access
1350|CAIDA_class|Transit/Access
1351|CAIDA_class|Transit/Access
1355|CAIDA_class|Transit/Access
1358|CAIDA_class|Transit/Access
1378|CAIDA_class|Transit/Access
1379|CAIDA_class|Transit/Access
1380|CAIDA_class|Enterprise
1382|CAIDA_class|Transit/Access
1395|CAIDA_class|Transit/Access
1397|CAIDA_class|Transit/Access
1399|CAIDA_class|Transit/Access
1401|CAIDA_class|Transit/Access
1403|peerDB_class|Transit/Access
1405|CAIDA_class|Enterprise
1406|peerDB_class|Content
1407|CAIDA_class|Transit/Access
1408|peerDB_class|Content
1409|CAIDA_class|Transit/Access
1410|CAIDA_class|Transit/Access
1411|CAIDA_class|Transit/Access
1412|CAIDA_class|Transit/Access
1414|CAIDA_class|Enterprise
1415|CAIDA_class|Transit/Access
1416|CAIDA_class|Transit/Access
1418|CAIDA_class|Enterprise
1419|CAIDA_class|Transit/Access
1420|CAIDA_class|Transit/Access
1421|CAIDA_class|Transit/Access
1422|peerDB_class|Enterprise
1423|CAIDA_class|Transit/Access
1426|CAIDA_class|Transit/Access
1427|CAIDA_class|Transit/Access
1428|CAIDA_class|Enterprise
1430|CAIDA_class|Enterprise
1432|CAIDA_class|Transit/Access
1435|CAIDA_class|Transit/Access
1436|CAIDA_class|Transit/Access
1437|CAIDA_class|Transit/Access
1438|CAIDA_class|Transit/Access
1439|CAIDA_class|Enterprise
1440|manual_class|Enterprise
1442|CAIDA_class|Content
1443|CAIDA_class|Transit/Access
1444|CAIDA_class|Transit/Access
1445|CAIDA_class|Transit/Access
1446|CAIDA_class|Transit/Access
1447|CAIDA_class|Enterprise
1449|CAIDA_class|Enterprise
1451|CAIDA_class|Transit/Access
1452|CAIDA_class|Transit/Access
1453|CAIDA_class|Transit/Access
1457|CAIDA_class|Transit/Access
1458|CAIDA_class|Transit/Access
1460|CAIDA_class|Transit/Access
1461|CAIDA_class|Transit/Access
1462|CAIDA_class|Transit/Access
1463|CAIDA_class|Transit/Access
1464|CAIDA_class|Transit/Access
1466|CAIDA_class|Transit/Access
1467|manual_class|Enterprise
1468|CAIDA_class|Transit/Access
1471|CAIDA_class|Transit/Access
1472|CAIDA_class|Transit/Access
1474|CAIDA_class|Transit/Access
1475|CAIDA_class|Transit/Access
1476|CAIDA_class|Transit/Access
1477|CAIDA_class|Transit/Access
1479|CAIDA_class|Transit/Access
1480|CAIDA_class|Transit/Access
1482|CAIDA_class|Transit/Access
1483|CAIDA_class|Transit/Access
1484|CAIDA_class|Transit/Access
1488|CAIDA_class|Transit/Access
1489|CAIDA_class|Transit/Access
1491|CAIDA_class|Transit/Access
1494|CAIDA_class|Transit/Access
1495|CAIDA_class|Transit/Access
1498|CAIDA_class|Transit/Access
1500|CAIDA_class|Transit/Access
1501|CAIDA_class|Transit/Access
1502|CAIDA_class|Transit/Access
1503|CAIDA_class|Transit/Access
1504|CAIDA_class|Transit/Access
1505|CAIDA_class|Transit/Access
1506|CAIDA_class|Transit/Access
1508|CAIDA_class|Enterprise
1509|CAIDA_class|Transit/Access
1510|CAIDA_class|Transit/Access
1511|CAIDA_class|Transit/Access
1515|CAIDA_class|Transit/Access
1516|CAIDA_class|Transit/Access
1519|CAIDA_class|Transit/Access
1524|CAIDA_class|Transit/Access
1525|CAIDA_class|Transit/Access
1526|CAIDA_class|Transit/Access
1527|CAIDA_class|Transit/Access
1528|CAIDA_class|Transit/Access
1531|CAIDA_class|Transit/Access
1533|CAIDA_class|Transit/Access
1535|CAIDA_class|Transit/Access
1536|CAIDA_class|Transit/Access
1537|CAIDA_class|Transit/Access
1538|CAIDA_class|Transit/Access
1539|manual_class|Enterprise
1540|CAIDA_class|Transit/Access
1541|CAIDA_class|Transit/Access
1547|peerDB_class|Transit/Access
1551|CAIDA_class|Transit/Access
1553|CAIDA_class|Transit/Access
1554|CAIDA_class|Content
1555|CAIDA_class|Transit/Access
1556|CAIDA_class|Transit/Access
1559|CAIDA_class|Transit/Access
1562|CAIDA_class|Transit/Access
1563|CAIDA_class|Transit/Access
1565|CAIDA_class|Transit/Access
1566|CAIDA_class|Transit/Access
1567|CAIDA_class|Transit/Access
1568|CAIDA_class|Transit/Access
1569|CAIDA_class|Transit/Access
1580|CAIDA_class|Transit/Access
1585|CAIDA_class|Transit/Access
1586|CAIDA_class|Transit/Access
1590|CAIDA_class|Transit/Access
1591|manual_class|Enterprise
1598|CAIDA_class|Transit/Access
1599|CAIDA_class|Transit/Access
1600|CAIDA_class|Transit/Access
1602|CAIDA_class|Transit/Access
1603|CAIDA_class|Transit/Access
1604|CAIDA_class|Enterprise
1605|CAIDA_class|Enterprise
1606|CAIDA_class|Transit/Access
1608|CAIDA_class|Enterprise
1609|CAIDA_class|Enterprise
1610|CAIDA_class|Content
1612|CAIDA_class|Transit/Access
1613|CAIDA_class|Transit/Access
1614|CAIDA_class|Enterprise
1615|CAIDA_class|Enterprise
